,İtalya,Almanya,İngiltere ,Fransa,Hollanda,İsviçre,Yunanistan,Belçika,Norveç,İrlanda,Danimarka,Çekya,Macaristan,Slovenya,Monako,Estonya,Moldova,Portekiz,Finlandiya,Romanya
İtalya,0,30,40,13,42,34,35,39,13,98,11,95,84,98,99,76,47,47,4,68
Almanya,30,0,10,17,12,64,5,9,17,68,19,65,54,68,69,46,17,77,34,38
İngiltere ,40,10,0,27,2,74,5,1,27,58,29,55,44,58,59,36,7,87,44,28
Fransa,13,17,27,0,29,47,22,26,0,85,2,82,71,85,86,63,34,60,17,55
Hollanda,42,12,2,29,0,76,7,3,29,56,31,53,42,56,57,34,5,89,46,26
İsviçre,34,64,74,47,76,0,69,73,47,132,45,129,118,132,133,110,81,13,30,102
Yunanistan,35,5,5,22,7,69,0,4,22,63,24,60,49,63,64,41,12,82,39,33
Belçika,39,9,1,26,3,73,4,0,26,59,28,56,45,59,60,37,8,86,43,29
Norveç,13,17,27,0,29,47,22,26,0,85,2,82,71,85,86,63,34,60,17,55
İrlanda,98,68,58,85,56,132,63,59,85,0,87,3,14,0,1,22,51,145,102,30
Danimarka,11,19,29,2,31,45,24,28,2,87,0,84,73,87,88,65,36,58,15,57
Çekya,95,65,55,82,53,129,60,56,82,3,84,0,11,3,4,19,48,142,99,27
Macaristan,84,54,44,71,42,118,49,45,71,14,73,11,0,14,15,8,37,131,88,16
Slovenya,98,68,58,85,56,132,63,59,85,0,87,3,14,0,1,22,51,145,102,30
Monako,99,69,59,86,57,133,64,60,86,1,88,4,15,1,0,23,52,146,103,31
Estonya,76,46,36,63,34,110,41,37,63,22,65,19,8,22,23,0,29,123,80,8
Moldova,47,17,7,34,5,81,12,8,34,51,36,48,37,51,52,29,0,94,51,21
Portekiz,47,77,87,60,89,13,82,86,60,145,58,142,131,145,146,123,94,0,43,115
Finlandiya,4,34,44,17,46,30,39,43,17,102,15,99,88,102,103,80,51,43,0,72
Romanya,68,38,28,55,26,102,33,29,55,30,57,27,16,30,31,8,21,115,72,0
